id,name,state,country,
U190,University of Medical Technology,Yangon,Myanmar
U191,University of Medicine 1,Yangon,Myanmar
U192,University of Medicine 2,Yangon,Myanmar
U193,University of Paramedical Science,Yangon,Myanmar
U194,University of Pharmacy,Yangon,Myanmar
U195,University of Public Health,Yangon,Myanmar
U196,Technological University,Hmawbi,Myanmar
U197,Technological University,Thanlyin,Myanmar
U198,University of West Yangon,Yangon,Myanmar
U199,West Yangon Technological University,Yangon,Myanmar
U200,Yangon Institute of Economics,Yangon,Myanmar
U201,Yangon Institute of Education,Yangon,Myanmar
U202,Yangon Institute of Marine Technology,Yangon,Myanmar
U203,Yangon Institute of Nursing,Yangon,Myanmar
U204,Yangon Technological University,Yangon,Myanmar
U205,Yangon University,Yangon,Myanmar
U206,Yankin Education College,Yangon,Myanmar
U207,Victoria University College,Yangon,Myanmar
U208,Strategy First University,Yangon,Myanmar
U209,STI Myanmar University,Yangon,Myanmar
U210,Info Myanmar University,Yangon,Myanmar
U211,Academy of Management and Technology,Yangon,Myanmar
